epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2620.56,0.87927,0.64648,1.23547,0.87195,0.96223,0.95993,0.76798,0.77995,0.56793,1.22591,0.000829428,0.000829428,0.000829428
66,2657.22,0.87446,0.64009,1.22877,0.85585,0.96066,0.96134,0.77049,0.76143,0.55853,1.20604,0.000825029,0.000825029,0.000825029
67,2694.13,0.89206,0.63566,1.22136,0.8694,0.96656,0.96482,0.77449,0.77066,0.53311,1.21581,0.000820629,0.000820629,0.000820629
68,2730.41,0.88626,0.63435,1.22905,0.87443,0.97375,0.96085,0.77074,0.7652,0.52986,1.20446,0.000816229,0.000816229,0.000816229
69,2766.76,0.88514,0.63654,1.23579,0.8851,0.95468,0.95815,0.75894,0.78308,0.54065,1.22857,0.00081183,0.00081183,0.00081183
70,2803.27,0.87897,0.61458,1.22093,0.86864,0.96645,0.95467,0.76928,0.76482,0.56121,1.20853,0.00080743,0.00080743,0.00080743
71,2841.75,0.87204,0.62888,1.20907,0.86657,0.96948,0.96071,0.77131,0.76397,0.56312,1.21053,0.000803031,0.000803031,0.000803031
72,2878.4,0.86885,0.61221,1.21932,0.87063,0.96406,0.96246,0.77535,0.75821,0.54746,1.20654,0.000798631,0.000798631,0.000798631
73,2914.59,0.87096,0.64183,1.21795,0.87595,0.93582,0.95639,0.76763,0.75976,0.71114,1.20534,0.000794232,0.000794232,0.000794232
74,2951.13,0.86235,0.60846,1.20222,0.86236,0.99359,0.96501,0.77726,0.761,0.53672,1.2051,0.000789832,0.000789832,0.000789832
75,2987.42,0.87377,0.62381,1.21822,0.88009,0.97756,0.96733,0.77604,0.7645,0.51052,1.20644,0.000785433,0.000785433,0.000785433
76,3023.83,0.85679,0.6173,1.20876,0.87724,0.94632,0.96222,0.77571,0.75035,0.54953,1.19741,0.000781033,0.000781033,0.000781033
77,3059.99,0.86577,0.62424,1.21006,0.88037,0.96504,0.9601,0.76279,0.78582,0.53032,1.22645,0.000776633,0.000776633,0.000776633
78,3096.26,0.86139,0.63891,1.2125,0.87812,0.97593,0.96347,0.77414,0.7599,0.52869,1.19816,0.000772234,0.000772234,0.000772234
79,3132.6,0.87516,0.6115,1.21418,0.89719,0.96874,0.96904,0.77648,0.76362,0.49284,1.21113,0.000767834,0.000767834,0.000767834
80,3168.72,0.8615,0.60819,1.2119,0.87357,0.96916,0.96175,0.76986,0.77623,0.5398,1.22376,0.000763435,0.000763435,0.000763435
81,3206.54,0.85094,0.59063,1.20435,0.89646,0.97052,0.96827,0.78156,0.74908,0.5007,1.19548,0.000759035,0.000759035,0.000759035
82,3242.53,0.86172,0.58785,1.20974,0.87565,0.9826,0.96833,0.77768,0.76205,0.51988,1.20334,0.000754636,0.000754636,0.000754636
83,3278.9,0.86574,0.59733,1.21249,0.861,0.97774,0.96379,0.77281,0.76,0.50921,1.2064,0.000750236,0.000750236,0.000750236
84,3314.69,0.85564,0.58863,1.21424,0.8828,0.97501,0.9653,0.77691,0.76011,0.51125,1.20649,0.000745837,0.000745837,0.000745837
85,3350.7,0.85947,0.60602,1.20985,0.8833,0.9691,0.96368,0.77828,0.74819,0.5066,1.19514,0.000741437,0.000741437,0.000741437
86,3386.4,0.85042,0.60025,1.20609,0.8881,0.9593,0.96596,0.77646,0.76313,0.51362,1.20545,0.000737037,0.000737037,0.000737037
87,3423.08,0.84572,0.59806,1.19307,0.87657,0.9695,0.96516,0.77554,0.76091,0.51726,1.20348,0.000732638,0.000732638,0.000732638
88,3459.49,0.85804,0.59894,1.19787,0.87793,0.97196,0.96789,0.7822,0.75493,0.50246,1.19556,0.000728238,0.000728238,0.000728238
89,3495.72,0.85089,0.58767,1.19546,0.89885,0.97632,0.96798,0.7817,0.74393,0.50498,1.19007,0.000723839,0.000723839,0.000723839
90,3531.9,0.83894,0.57411,1.1908,0.90731,0.96942,0.97023,0.78441,0.75295,0.49105,1.20006,0.000719439,0.000719439,0.000719439
91,3568.06,0.85648,0.58778,1.20876,0.89001,0.96734,0.97076,0.78631,0.74689,0.50685,1.19115,0.00071504,0.00071504,0.00071504
92,3604.26,0.86492,0.5804,1.20957,0.90232,0.9766,0.97113,0.79018,0.73703,0.46844,1.18259,0.00071064,0.00071064,0.00071064
93,3641.81,0.85247,0.58625,1.20586,0.90377,0.95931,0.97111,0.78313,0.74029,0.49084,1.18661,0.00070624,0.00070624,0.00070624
94,3678.56,0.85514,0.59157,1.2068,0.88708,0.97259,0.96539,0.77402,0.76293,0.49069,1.20336,0.000701841,0.000701841,0.000701841
95,3715.06,0.85387,0.55903,1.19208,0.88349,0.97673,0.96824,0.78888,0.74279,0.4751,1.18723,0.000697441,0.000697441,0.000697441
96,3751.55,0.82692,0.55729,1.18629,0.88405,0.98562,0.96806,0.78662,0.74159,0.48979,1.18605,0.000693042,0.000693042,0.000693042
97,3787.93,0.84007,0.57425,1.1925,0.89993,0.97676,0.97013,0.78878,0.73767,0.46628,1.18412,0.000688642,0.000688642,0.000688642
98,3824.13,0.83839,0.56288,1.18305,0.90469,0.96471,0.96802,0.79182,0.72465,0.4888,1.17671,0.000684243,0.000684243,0.000684243
99,3860.53,0.83738,0.56328,1.19028,0.89602,0.9672,0.97011,0.78427,0.74791,0.51941,1.19279,0.000679843,0.000679843,0.000679843
100,3896.61,0.84173,0.56409,1.19475,0.90468,0.97326,0.97043,0.79208,0.72784,0.45693,1.17506,0.000675444,0.000675444,0.000675444
101,3932.69,0.84306,0.56362,1.20484,0.89309,0.97494,0.97006,0.78864,0.73738,0.50478,1.1835,0.000671044,0.000671044,0.000671044
102,3968.98,0.84578,0.56363,1.20162,0.89996,0.98187,0.97304,0.79326,0.72887,0.47432,1.1756,0.000666644,0.000666644,0.000666644
103,4005.04,0.85053,0.55791,1.20026,0.89808,0.96846,0.97276,0.79109,0.73298,0.45832,1.18281,0.000662245,0.000662245,0.000662245
104,4041.55,0.83777,0.56271,1.19866,0.90417,0.98047,0.9745,0.79825,0.72497,0.45745,1.17142,0.000657845,0.000657845,0.000657845
105,4077.53,0.82928,0.55129,1.18277,0.89127,0.98088,0.97013,0.79474,0.7249,0.46369,1.17296,0.000653446,0.000653446,0.000653446
106,4113.84,0.82799,0.5569,1.18516,0.8905,0.9704,0.97063,0.79397,0.73364,0.477,1.17899,0.000649046,0.000649046,0.000649046
107,4150.52,0.83737,0.55616,1.19096,0.88303,0.97782,0.9693,0.78635,0.74376,0.48873,1.18584,0.000644647,0.000644647,0.000644647
108,4186.56,0.8296,0.5565,1.18964,0.89905,0.97586,0.96643,0.79589,0.72038,0.45384,1.1654,0.000640247,0.000640247,0.000640247
109,4222.41,0.8167,0.54065,1.16882,0.89246,0.97203,0.97483,0.79619,0.72971,0.47235,1.17372,0.000635848,0.000635848,0.000635848
110,4258.91,0.83837,0.5518,1.19553,0.88419,0.98153,0.97235,0.79582,0.72272,0.45942,1.17026,0.000631448,0.000631448,0.000631448
